,date,wind_speed_10m,wind_direction_10m,wind_speed_100m,wind_direction_100m
70,2025-07-02 22:00:00+05:30,11.157096,100.222115,19.983242,107.29254
71,2025-07-02 23:00:00+05:30,10.484902,78.11137,18.044046,94.0041
72,2025-07-03 00:00:00+05:30,8.836514,93.50346,16.851885,103.590965
73,2025-07-03 01:00:00+05:30,9.403169,95.49223,17.864489,102.215706
74,2025-07-03 02:00:00+05:30,9.567131,94.31595,18.3794,104.17237
75,2025-07-03 03:00:00+05:30,11.832176,103.19062,19.64558,103.781624
76,2025-07-03 04:00:00+05:30,13.529966,123.055824,22.268406,122.79088
77,2025-07-03 05:00:00+05:30,11.952054,127.042564,21.898684,128.65984
78,2025-07-03 06:00:00+05:30,14.450535,129.44003,22.842985,130.84605
79,2025-07-03 07:00:00+05:30,13.624228,133.39404,19.222954,133.86191
80,2025-07-03 08:00:00+05:30,12.399113,129.69904,16.848999,130.6676
81,2025-07-03 09:00:00+05:30,13.491598,135.0001,18.329973,135.79564
82,2025-07-03 10:00:00+05:30,14.383114,135.50697,19.219584,135.3794
83,2025-07-03 11:00:00+05:30,11.616626,130.60121,15.189484,130.67485
84,2025-07-03 12:00:00+05:30,12.932471,124.7961,16.825909,124.54016
85,2025-07-03 13:00:00+05:30,15.717823,119.50063,20.385345,119.05451
86,2025-07-03 14:00:00+05:30,13.14,131.112,18.783066,129.94612
87,2025-07-03 15:00:00+05:30,9.9408245,137.93575,12.870944,137.83418
88,2025-07-03 16:00:00+05:30,8.783189,134.16977,11.712454,133.75471
89,2025-07-03 17:00:00+05:30,11.712454,136.24529,18.212051,137.00253
90,2025-07-03 18:00:00+05:30,4.802999,102.99462,11.063778,111.97456
91,2025-07-03 19:00:00+05:30,5.8048253,97.12492,14.345898,107.52566
92,2025-07-03 20:00:00+05:30,6.8423676,88.4926,15.151039,103.04564
93,2025-07-03 21:00:00+05:30,9.178235,101.3099,18.673208,107.38706
94,2025-07-03 22:00:00+05:30,8.490582,111.124794,17.548845,116.827805
95,2025-07-03 23:00:00+05:30,8.373386,115.46331,17.441433,121.0651
96,2025-07-04 00:00:00+05:30,8.131936,117.69938,15.575981,123.6901
97,2025-07-04 01:00:00+05:30,8.181589,129.64413,15.951087,130.88171
