,date,wind_speed_10m,wind_direction_10m,wind_speed_100m,wind_direction_100m
0,2025-06-30 00:00:00+05:30,9.446141,59.03632,19.36151,69.88028
1,2025-06-30 01:00:00+05:30,8.2584505,69.59004,17.987394,71.92759
2,2025-06-30 02:00:00+05:30,7.970972,96.48298,17.640919,98.2127
3,2025-06-30 03:00:00+05:30,14.477417,51.56267,24.541468,59.10839
4,2025-06-30 04:00:00+05:30,16.825909,55.45984,28.80281,59.589005
5,2025-06-30 05:00:00+05:30,16.67795,34.89078,26.94294,40.39363
6,2025-06-30 06:00:00+05:30,12.383424,57.46495,24.149532,63.435013
7,2025-06-30 07:00:00+05:30,15.617529,64.025665,22.242203,66.13167
8,2025-06-30 08:00:00+05:30,17.811815,75.96373,24.19042,77.10125
9,2025-06-30 09:00:00+05:30,18.532133,97.81521,24.361256,98.070145
10,2025-06-30 10:00:00+05:30,13.690654,50.869614,19.523983,55.13773
11,2025-06-30 11:00:00+05:30,14.835537,54.38142,19.469976,56.3099
12,2025-06-30 12:00:00+05:30,13.451914,77.63753,19.03665,76.88356
13,2025-06-30 13:00:00+05:30,13.288341,81.43095,17.371632,79.854515
14,2025-06-30 14:00:00+05:30,15.129638,87.95464,20.886982,88.51858
15,2025-06-30 15:00:00+05:30,11.638917,58.276447,15.629971,61.07368
16,2025-06-30 16:00:00+05:30,11.983188,57.264786,17.134071,58.313683
17,2025-06-30 17:00:00+05:30,10.196647,69.3255,17.254667,69.86362
18,2025-06-30 18:00:00+05:30,8.067936,51.34017,16.595179,77.4712
19,2025-06-30 19:00:00+05:30,7.5363917,49.844074,15.639297,78.04344
20,2025-06-30 20:00:00+05:30,8.149847,46.789886,16.947742,67.52052
21,2025-06-30 21:00:00+05:30,10.1376915,83.88459,19.633205,92.10161
22,2025-06-30 22:00:00+05:30,13.151091,59.574306,22.90248,66.86052
23,2025-06-30 23:00:00+05:30,10.703569,42.27363,19.48079,58.219128
24,2025-07-01 00:00:00+05:30,14.88242,57.84773,26.567535,64.30305
25,2025-07-01 01:00:00+05:30,16.818203,42.397392,28.511683,45.511494
26,2025-07-01 02:00:00+05:30,16.176983,42.745415,28.260572,46.032158
27,2025-07-01 03:00:00+05:30,17.823637,51.97273,30.92754,53.99706
28,2025-07-01 04:00:00+05:30,15.484185,54.46224,27.260939,59.879818
29,2025-07-01 05:00:00+05:30,16.144905,59.145874,27.29479,64.61792
30,2025-07-01 06:00:00+05:30,15.210799,69.20581,22.485594,72.29019
31,2025-07-01 07:00:00+05:30,15.206538,73.49557,21.231607,71.71857
32,2025-07-01 08:00:00+05:30,14.589996,87.87895,19.64063,87.37365
33,2025-07-01 09:00:00+05:30,15.531195,94.65327,20.41949,95.05716
34,2025-07-01 10:00:00+05:30,14.455019,95.00056,18.806337,95.49223
35,2025-07-01 11:00:00+05:30,13.883356,103.49575,17.552536,103.038666
36,2025-07-01 12:00:00+05:30,13.493999,99.21095,16.956345,99.16227
37,2025-07-01 13:00:00+05:30,12.638512,79.33027,16.276815,79.80856
38,2025-07-01 14:00:00+05:30,18.23694,94.52874,25.523214,96.072365
39,2025-07-01 15:00:00+05:30,14.356058,59.89878,19.652176,61.55718
40,2025-07-01 16:00:00+05:30,13.288341,61.69934,19.080849,62.468105
41,2025-07-01 17:00:00+05:30,12.108261,101.14285,18.379402,98.44744
42,2025-07-01 18:00:00+05:30,7.415038,95.572105,16.724508,81.9572
43,2025-07-01 19:00:00+05:30,10.304115,109.38461,20.161608,97.69597
44,2025-07-01 20:00:00+05:30,6.424764,78.6901,15.664136,91.31689
45,2025-07-01 21:00:00+05:30,7.69592,79.21575,16.724508,98.04281
46,2025-07-01 22:00:00+05:30,6.623413,47.20262,13.672893,69.17903
47,2025-07-01 23:00:00+05:30,10.435344,75.004875,21.691305,80.92858
48,2025-07-02 00:00:00+05:30,9.437563,145.09743,18.138071,139.83049
49,2025-07-02 01:00:00+05:30,7.9932976,97.76508,16.56489,109.0257
50,2025-07-02 02:00:00+05:30,10.062305,79.69521,19.540573,84.18447
51,2025-07-02 03:00:00+05:30,13.954354,83.333435,25.03618,87.93993
52,2025-07-02 04:00:00+05:30,14.512064,66.61476,25.171696,73.379166
53,2025-07-02 05:00:00+05:30,12.801531,62.354122,23.068108,67.036194
54,2025-07-02 06:00:00+05:30,16.224981,72.57005,23.760681,74.17378
55,2025-07-02 07:00:00+05:30,15.956163,78.94363,21.67487,78.50347
56,2025-07-02 08:00:00+05:30,13.596852,83.15732,18.089775,84.2895
57,2025-07-02 09:00:00+05:30,15.477906,98.69542,20.364674,98.13002
58,2025-07-02 10:00:00+05:30,14.000713,98.13002,18.051228,99.180466
59,2025-07-02 11:00:00+05:30,13.733186,100.57348,17.651016,101.768265
60,2025-07-02 12:00:00+05:30,13.169555,100.23475,17.489666,98.88058
61,2025-07-02 13:00:00+05:30,17.33429,74.95356,23.097584,76.938446
62,2025-07-02 14:00:00+05:30,14.527683,56.113,20.875343,60.561607
63,2025-07-02 15:00:00+05:30,13.971757,51.801277,19.765606,52.399532
64,2025-07-02 16:00:00+05:30,12.638513,63.79995,18.193361,62.927998
65,2025-07-02 17:00:00+05:30,10.144082,62.525658,15.385525,61.33614
66,2025-07-02 18:00:00+05:30,10.304115,70.615395,20.128637,74.96952
67,2025-07-02 19:00:00+05:30,10.00256,59.743652,20.799152,66.54096
68,2025-07-02 20:00:00+05:30,11.238113,58.091934,22.47983,65.897766
69,2025-07-02 21:00:00+05:30,12.330985,56.3099,23.348019,64.42275
70,2025-07-02 22:00:00+05:30,15.086748,54.223835,26.418333,61.514256
71,2025-07-02 23:00:00+05:30,13.666967,49.80802,24.541468,59.10839
72,2025-07-03 00:00:00+05:30,12.232057,57.011467,22.700705,63.6382
73,2025-07-03 01:00:00+05:30,15.536408,43.122143,25.199997,53.13002
74,2025-07-03 02:00:00+05:30,18.52951,50.123222,31.115017,54.654903
75,2025-07-03 03:00:00+05:30,16.755476,50.6673,29.109398,55.327198
76,2025-07-03 04:00:00+05:30,18.171976,56.3099,31.05717,59.719746
77,2025-07-03 05:00:00+05:30,16.332458,58.061596,27.85816,62.27604
78,2025-07-03 06:00:00+05:30,17.762634,70.46326,27.553526,72.51192
79,2025-07-03 07:00:00+05:30,14.98331,73.95999,20.966715,74.054535
80,2025-07-03 08:00:00+05:30,15.273505,81.86999,20.674158,82.99883
81,2025-07-03 09:00:00+05:30,20.44803,99.62809,28.112288,99.58287
82,2025-07-03 10:00:00+05:30,12.886039,65.22488,19.320465,68.69415
83,2025-07-03 11:00:00+05:30,13.672893,69.17903,18.442753,71.21129
